Stats
Word,Appearances,Pronunciation,Meaning
下降,1,xia4 jiang4, /to decline/to drop/to fall/to go down/to decrease/
依据,1,yi1 ju4, /according to/basis/foundation/
文,1,wen2, /language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 67/
思考,1,si1 kao3, /to reflect on/to ponder over/
社会,1,she4 hui4, /society/CL:個 个ge4]/
当,1,dang4, /at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)/
其,1,qi2, /his/her/its/their/that/such/it (refers to sth preceding it)/
走马灯,1,zou3 ma3 deng1, /lantern with carousel of paper horses  rotating under convection  used at Lantern Festival 元宵節 元宵节/fig. constant busy circulation of people/
乱象,1,luan4 xiang4, /chaos/madness/
金领,1,jin1 ling3, /gold collar/high level senior executive/highly-skilled worker/
顾问,1,gu4 wen4, /adviser/consultant/
长,1,zhang3, /chief/head/elder/to grow/to develop/to increase/to enhance/
解决,1,jie3 jue2, /to settle (a dispute)/to resolve/to solve/to dispose of/to dispatch/
能,1,neng2, /can/to be able to/might possibly/ability/(physics) energy/
央行,1,yang1 hang2, /central bank/
分,1,fen4, /part/share/ingredient/component/
从业人员,1,cong2 ye4 ren2 yuan2, /employee/person employed in a trade or profession/
可,1,ke4, /see 可汗ke4 han2]/
偏爱,1,pian1 ai4, /to be partial towards sth/to favor/to prefer/preference/favorite/
全国,1,quan2 guo2, /whole nation/nationwide/countrywide/national/
在此,1,zai4 ci3, /hereto/here/
控,1,kong4, /to control/to accuse/to charge/to sue/to invert a container to empty it/(suffix) (slang) buff/enthusiast/devotee/-phile or -philia/
流动资金,1,liu2 dong4 zi1 jin1, /money in circulation/fluid funds/
穿透,1,chuan1 tou4, /to penetrate/
提问,1,ti2 wen4, /to question/to quiz/to grill/
能力,1,neng2 li4, /capability/ability/CL:個 个ge4]/
就要,1,jiu4 yao4, /will/shall/to be going to/
项,1,xiang4, /back of neck/item/thing/term (in a mathematical formula)/sum (of money)/classifier for principles  items  clauses  tasks  research projects etc/
这样,1,zhe4 yang4, /this kind of/so/this way/like this/such/
位置,1,wei4 zhi5, /position/place/seat/CL:個 个ge4]/
一再,1,yi1 zai4, /repeatedly/
浮,1,fu2, /to float/superficial/floating/unstable/movable/provisional/temporary/transient/impetuous/hollow/inflated/to exceed/superfluous/excessive/surplus/
近期,1,jin4 qi1, /near in time/in the near future/very soon/recent/
缺乏,1,que1 fa2, /to lack/to be short of/lack/shortage/
清明节,1,Qing1 ming2 jie2, /Qingming or Pure Brightness Festival or Tomb Sweeping Day  celebration for the dead (in early April)/
关联,1,guan1 lian2, /related/linked/affiliated/
短板,1,duan3 ban3, /short stave of the barrel (which allows the contents to escape)/(fig.) shortcoming/weak point/
不容,1,bu4 rong2, /must not/cannot/to not allow/cannot tolerate/
这么,1,zhe4 me5, /so much/this much/how much?/this way/like this/
以为,1,yi3 wei2, /to believe/to think/to consider/to be under the impression/
支撑,1,zhi1 cheng1, /to prop up/to support/strut/brace/
一度,1,yi1 du4, /for a time/at one time/one time/once/
群体,1,qun2 ti3, /community/colony/
最后,1,zui4 hou4, /final/last/finally/ultimate/
尽职,1,jin4 zhi2, /to discharge one's duties/conscientious/
此次,1,ci3 ci4, /this time/
中点,1,zhong1 dian3, /midpoint/half-way point/
一时间,1,yi1 shi2 jian1, /for a moment/momentarily/
议价,1,yi4 jia4, /to bargain/to negotiate a price/
马甲,1,ma3 jia3, /corset/sockpuppet (Internet slang)/vest (dialect)/
盯,1,ding1, /to watch attentively/to fix one's attention on/to stare at/to gaze at/
亿,1,yi4, /100 million/
举措,1,ju3 cuo4, /to move/to act/action/decision/conduct/manner/
方式,1,fang1 shi4, /way/manner/style/mode/pattern/CL:個 个ge4]/
条件,1,tiao2 jian4, /condition/circumstances/term/factor/requirement/prerequisite/qualification/CL:個 个ge4]/
缩短,1,suo1 duan3, /to curtail/to cut down/
降低,1,jiang4 di1, /to reduce/to lower/to bring down/
真面目,1,zhen1 mian4 mu4, /true identity/true colors/
来源,1,lai2 yuan2, /source (of information etc)/origin/
路子,1,lu4 zi5, /method/way/approach/
不到,1,bu4 dao4, /not to arrive/not reaching/insufficient/less than/
得,1,dei3, /to have to/must/ought to/to need to/
对于,1,dui4 yu2, /regarding/as far as sth is concerned/with regards to/
面对,1,mian4 dui4, /to confront/to face/
产品结构,1,chan3 pin3 jie2 gou4, /product mix/
所以,1,suo3 yi3, /therefore/as a result/so/the reason why/
中央,1,zhong1 yang1, /central/middle/center/central authorities (of a state)/
存贷,1,cun2 dai4, /bank deposits and loans/
享受,1,xiang3 shou4, /to enjoy/to live it up/pleasure/CL:種 种zhong3]/
各类,1,ge4 lei4, /all categories/
融,1,rong2, /old variant of 融rong2]/
虽然,1,sui1 ran2, /although/even though/even if/
其实,1,qi2 shi2, /actually/in fact/really/
过高,1,guo4 gao1, /too high/
险,1,xian3, /danger/dangerous/rugged/
约,1,yue1, /to make an appointment/to invite/approximately/pact/treaty/to economize/to restrict/to reduce (a fraction)/concise/
贴合,1,tie1 he2, /to adjust closely/to fit/
显示,1,xian3 shi4, /to show/to illustrate/to display/to demonstrate/
重新,1,chong2 xin1, /again/once more/re-/
饿,1,e4, /to be hungry/hungry/to starve (sb)/
效果,1,xiao4 guo3, /result/effect/quality/CL:個 个ge4]/
从不,1,cong2 bu4, /never/
还款,1,huan2 kuan3, /repayment/to pay back money/
签订,1,qian1 ding4, /to agree to and sign (a treaty etc)/
多次,1,duo1 ci4, /many times/repeatedly/
钱袋,1,qian2 dai4, /purse/wallet/
争先恐后,1,zheng1 xian1 kong3 hou4, /striving to be first and fearing to be last (idiom); outdoing one another/
方面,1,fang1 mian4, /respect/aspect/field/side/CL:個 个ge4]/
出,1,chu1, /variant of 出chu1] (classifier for plays or chapters of classical novels)/
元,1,yuan2, /currency unit (esp. Chinese yuan)/first/original/primary/fundamental/constituent/part/era (of a reign)/(math.) argument/variable/(Tw) (geology) eon/
假,1,jia3, /variant of 假jia3]/to borrow/
利,1,li4, /sharp/favorable/advantage/benefit/profit/interest/to do good to/to benefit/
循,1,xun2, /to follow/to adhere to/to abide by/
展开,1,zhan3 kai1, /to unfold/to carry out/to be in full swing/to launch/
比,1,bi4, /to associate with/to be near/
窄,1,zhai3, /narrow/narrow-minded/badly off/
余额,1,yu2 e2, /balance (of an account  bill etc)/surplus/remainder/
自,1,zi4, /self/oneself/from/since/naturally/surely/
高利贷,1,gao1 li4 dai4, /loan shark/high-interest loan/usury/
回落,1,hui2 luo4, /to fall back/to return to low level after a rise (in water level  price etc)/
此,1,ci3, /this/these/
你,1,ni3, /you (informal  as opposed to courteous 您nin2])/
承兑,1,cheng2 dui4, /to accept (i.e. acknowledge as calling for payment) (commerce)/to honor (a check  a promise)/
迫在眉睫,1,po4 zai4 mei2 jie2, /pressing in on one's eyelashes (idiom); imminent/
多个,1,duo1 ge5, /many/multiple/multi- (faceted  ethnic etc)/
获利,1,huo4 li4, /profit/to obtain benefits/benefits obtained/
原则,1,yuan2 ze2, /principle/doctrine/CL:個 个ge4]/
透明度,1,tou4 ming2 du4, /transparency/(policy of) openness/
喂,1,wei4, /to feed/
指向,1,zhi3 xiang4, /to point towards/aimed at/facing/the direction indicated/
飙升,1,biao1 sheng1, /to rise rapidly/to soar/
均,1,jun1, /equal/even/all/uniform/
关心,1,guan1 xin1, /to be concerned about/to care about/
挣钱,1,zheng4 qian2, /to make money/
清晰,1,qing1 xi1, /clear/distinct/
交叉,1,jiao1 cha1, /to cross/to intersect/to overlap/
违规,1,wei2 gui1, /to violate (rules)/irregular/illegal/corrupt/
捡,1,jian3, /to pick up/to collect/to gather/
负责人,1,fu4 ze2 ren2, /person in charge/
未,1,wei4, /not yet/did not/have not/not/8th earthly branch: 1-3 p.m.  6th solar month (7th July-6th August)  year of the Sheep/ancient Chinese compass point: 210°/
而是,1,er2 shi4, /rather/
介绍,1,jie4 shao4, /to introduce (sb to sb)/to give a presentation/to present (sb for a job etc)/introduction/
暴力,1,bao4 li4, /violence/force/violent/
资,1,zi1, /resources/capital/to provide/to supply/to support/money/expense/
较,1,jiao4, /to compare/to dispute/compared to/(before adj.) relatively/comparatively/rather/also pr. jiao3]/
握,1,wo4, /to hold/to grasp/to clench (one's fist)/to master/classifier: a handful/
眼花缭乱,1,yan3 hua1 liao2 luan4, /to be dazzled/
征信,1,zheng1 xin4, /to examine the reliability/reliable/credit reporting/
计划,1,ji4 hua4, /plan/project/program/to plan/to map out/CL:個 个ge4] 項 项xiang4]/
庐山,1,Lu2 shan1, /Lushan district of Jiujiang city 九江市  Jiangxi/Mt Lushan in Jiujiang  famous as summer holiday spot/
明确,1,ming2 que4, /clear-cut/definite/explicit/to clarify/to specify/to make definite/
公布,1,gong1 bu4, /to announce/to make public/to publish/
业绩,1,ye4 ji4, /achievement/accomplishment/(in more recent usage) performance (of a business  employee etc)/results/
强化,1,qiang2 hua4, /to strengthen/to intensify/
另,1,ling4, /other/another/separate/separately/
本来,1,ben3 lai2, /original/originally/at first/it goes without saying/of course/
碎,1,sui4, /to break down/to break into pieces/fragmentary/
北上广,1,Bei3 Shang4 Guang3, /abbr. for Beijing 北京Bei1 jing1]  Shanghai 上海Shang4 hai3] and Guangzhou 廣州 广州Guang3 zhou1]/
差,1,chai1, /to send/to commission/messenger/mission/
增速,1,zeng1 su4, /to speed up/to accelerate/growth rate (economics)/
依然,1,yi1 ran2, /still/as before/
消费金融,1,xiao1 fei4 jin1 rong2, /consumer finance/
我,1,wo3, /I/me/my/
轻风,1,qing1 feng1, /breeze/light wind/
底层,1,di3 ceng2, /ground or first floor/bottom (of a pile)/lowest rung (of society)/
压力,1,ya1 li4, /pressure/
高位,1,gao1 wei4, /high position/eminent status/top job/raised position/upper (limbs)/a high (i.e. local maximum)/high point on scale  high grade  temperature  latitude etc/
有时,1,you3 shi2, /sometimes/now and then/
中空,1,zhong1 kong1, /hollow/empty interior/
处罚,1,chu3 fa2, /to penalize/to punish/
监督,1,jian1 du1, /to control/to supervise/to inspect/
销售,1,xiao1 shou4, /to sell/to market/sales (representative  agreement etc)/
一刀切,1,yi1 dao1 qie1, /lit. to cut all at one stroke (idiom); to impose uniformity/one solution fits a diversity of problems/one size fits all/
顶,1,ding3, /apex/crown of the head/top/roof/most/to carry on the head/to push to the top/to go against/to replace/to substitute/to be subjected to (an aerial bombing  hailstorm etc)/(slang) to "bump" a forum thread to raise its profile/classifier for headwear  hats  veils etc/
更为,1,geng4 wei2, /even more/
谁,1,shei2, /who/also pr. shui2]/
部分,1,bu4 fen5, /part/share/section/piece/CL:個 个ge4]/
应该,1,ying1 gai1, /ought to/should/must/
目录,1,mu4 lu4, /catalog/table of contents/directory (on computer hard drive)/list/contents/
延期,1,yan2 qi1, /to delay/to extend/to postpone/to defer/
包装,1,bao1 zhuang1, /to pack/to package/to wrap/packaging/
生,1,sheng1, /to be born/to give birth/life/to grow/raw/uncooked/student/
顽疾,1,wan2 ji2, /ineradicable disease/fig. deep-seated problem/perennial problem/
往,1,wang3, /old variant of 往wang3]/
和服,1,he2 fu2, /kimono/Japanese: traditional national clothing  as opposed to Western clothing 洋服/
有关,1,you3 guan1, /to have sth to do with/to relate to/related to/to concern/concerning/
转嫁,1,zhuan3 jia4, /to remarry (of widow)/to pass on (blame  cost  obligation  unpleasant consequence etc)/to transfer (blame  guilt)/to pass the buck/
乱,1,luan4, /in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary/
深,1,shen1, /deep/depth/deeply/(of a color) dark/deep/rich/
小企业,1,xiao3 qi3 ye4, /small enterprise/
眼看,1,yan3 kan4, /soon/in a moment/to look on as sth happens/
科学,1,ke1 xue2, /science/scientific knowledge/scientific/rational/CL:門 门men2] 個 个ge4] 種 种zhong3]/
掌握,1,zhang3 wo4, /to grasp (often fig.)/to control/to seize (initiative  opportunity  destiny)/to master/to know well/to understand sth well and know how to use it/fluency/
七,1,qi1, /seven/7/
太,1,tai4, /highest/greatest/too (much)/very/extremely/
工作,1,gong1 zuo4, /to work/(of a machine) to operate/job/work/task/CL:個 个ge4] 份fen4] 項 项xiang4]/
相关,1,xiang1 guan1, /related/relevant/pertinent/to be interrelated/(statistics) correlation/
大,1,dai4, /see 大夫dai4 fu5]/
投资,1,tou2 zi1, /investment/to invest/
占领,1,zhan4 ling3, /to occupy (a territory)/to hold/
毕竟,1,bi4 jing4, /after all/all in all/when all is said and done/in the final analysis/
随着,1,sui2 zhe5, /along with/in the wake of/following/
财,1,cai2, /money/wealth/riches/property/valuables/
小白,1,xiao3 bai2, /(slang) novice/greenhorn/fool/idiot/abbr. for 小白臉 小白脸xiao3 bai2 lian3]  pretty boy/
根本,1,gen1 ben3, /fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個 个ge4]/
重点,1,zhong4 dian3, /important point/main point/focus/key (project etc)/to focus on/to put the emphasis on/
企业主,1,qi3 ye4 zhu3, /owner of enterprise/
价格,1,jia4 ge2, /price/CL:個 个ge4]/
脱,1,tuo1, /to shed/to take off/to escape/to get away from/
正在,1,zheng4 zai4, /just at (that time)/right in (that place)/right in the middle of (doing sth)/
有道,1,you3 dao4, /to have attained the Way/(of a government or a ruler) enlightened/wise and just/
各,1,ge4, /each/every/
新政,1,xin1 zheng4, /new policy/New Deal (Roosevelt's 1933 policy to deal with the Great Depression)/
库存,1,ku4 cun2, /property or cash held in reserve/stock/
于,1,yu2, /in/at/to/from/by/than/out of/
引,1,yin3, /to draw (e.g. a bow)/to pull/to stretch sth/to extend/to lengthen/to involve or implicate in/to attract/to lead/to guide/to leave/to provide evidence or justification for/old unit of distance equal to 10 丈zhang4]  one-thirtieth of a km or 33.33 meters/
不合理,1,bu4 he2 li3, /unreasonable/
名,1,ming2, /name/noun (part of speech)/place (e.g. among winners)/famous/classifier for people/
处于,1,chu3 yu2, /to be in (some state  position  or condition)/
一堆,1,yi1 dui1, /pile/
出台,1,chu1 tai2, /to officially launch (a policy  program etc)/to appear on stage/to appear publicly/(of a bar girl) to leave with a client/
提高,1,ti2 gao1, /to raise/to increase/to improve/
标尺,1,biao1 chi3, /surveyor's rod/staff/staff gauge/rear sight/
万,1,wan4, /ten thousand/a great number/
求,1,qiu2, /to seek/to look for/to request/to demand/to beseech/
来看,1,lai2 kan4, /to come and see/to see a topic from a certain point of view/
话,1,hua4, /old variant of 話 话hua4]/
如果,1,ru2 guo3, /if/in case/in the event that/
堵住,1,du3 zhu4, /to block up/
回到,1,hui2 dao4, /to return to/
恐,1,kong3, /afraid/frightened/to fear/
坐享其成,1,zuo4 xiang3 qi2 cheng2, /to reap where one has not sown (idiom)/
与此同时,1,yu3 ci3 tong2 shi2, /at the same time/meanwhile/
投入,1,tou2 ru4, /to throw into/to put into/to throw oneself into/to participate in/to invest in/absorbed/engrossed/
